Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
RP0028;JARDINERO REM (CELESTE);JARDINERO REM;T0,T1,T2,T3;9900;;no;si;7/8/2025;;public;
RP0029;JARDINERO REM (VERDE);JARDINERO REM;T0,T1,T2,T3;9900;;no;si;7/8/2025;;public;
RP0030;JARDINERO REM (NATURAL);JARDINERO REM;T0,T1,T2,T3;9900;;no;si;7/8/2025;;public;
RP0031;JARDINERO REM (GRIS);JARDINERO REM;T0,T1,T2,T3;9900;;no;si;7/8/2025;;public;
RP0032;JARDINERO REM (BLANCO);JARDINERO REM;T0,T1,T2,T3;9900;;no;si;7/8/2025;;public;
RP0033;PANTALON RUSTICO NEW (AZUL);PANTALON RUSTICO NEW;T1,T2,T3,T4,T5;8500;;no;si;7/8/2025;;public;
RP0034;PANTALON RUSTICO NEW (TERRACOTA);PANTALON RUSTICO NEW;T0,T1,T5,T7;8500;;no;si;7/8/2025;;public;
RP0035;PANTALON RUSTICO NEW (NEGRO);PANTALON RUSTICO NEW;T0,T1,T2,T3;8500;;no;si;7/8/2025;;public;
RP0036;PANTALON RUSTICO NEW (CHICLE);PANTALON RUSTICO NEW;T2,T5;8500;;no;si;7/8/2025;;public;
RP0037;PANTALON RUSTICO NEW (DURAZNO);PANTALON RUSTICO NEW;T0,T3;8500;;no;si;7/8/2025;;public;
RP0038;CAMPERA STAR (CHICLE);CAMPERA STAR;T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0039;CAMPERA STAR (DURAZNO);CAMPERA STAR;T0,T2,T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0040;CAMPERA STAR (GRIS);CAMPERA STAR;T3,T4;9900;;no;si;7/8/2025;;public;
RP0041;CAMPERA STAR (NEGRO);CAMPERA STAR;T0,T1,T2,T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0042;CAMPERA ROCKSTAR (ANIMALITOS GRIS);CAMPERA ROCKSTAR;T0,T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0043;CAMPERA ROCKSTAR (ANIMALITOS VERDE);CAMPERA ROCKSTAR;T0,T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0044;CAMPERA ROCKSTAR (MONO NATURAL);CAMPERA ROCKSTAR;T4,T5;9900;;no;si;7/8/2025;;public;
RP0045;CAMPERA ROCKSTAR (REX CELESTE);CAMPERA ROCKSTAR;T4,T5;9900;;no;si;7/8/2025;;public;
RP0046;CAMPERA ROCKSTAR (REX GRIS);CAMPERA ROCKSTAR;T0,T2,T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0047;CAMPERA ROCKSTAR (REX VERDE);CAMPERA ROCKSTAR;T0,T2,T3,T4,T5;9900;;no;si;7/8/2025;;public;
RP0048;BIKERS DANA (NEGRO);BIKERS DANA;T1,T2,T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0049;BIKERS DANA (ROJO);BIKERS DANA;T1,T2,T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0050;BIKERS DANA (GRIS);BIKERS DANA;T1,T2,T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0051;BIKERS DANA (ROSA);BIKERS DANA;T1,T2,T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0052;BIKERS DANA (NATURAL);BIKERS DANA;T1,T2,T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0053;BIKERS DANA (BLANCO);BIKERS DANA;T1,T2,T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0054;CHOMBA THAO (ROJO);CHOMBA THAO;T3,T4,T5,T6,T7;5500;;no;si;7/8/2025;;public;
RP0055;CHOMBA THAO (AZUL);CHOMBA THAO;T3,T4,T5,T6,T7;5500;;no;si;7/8/2025;;public;
RP0056;CHOMBA THAO (NARANJA);CHOMBA THAO;T3,T4,T5,T6,T7;5500;;no;si;7/8/2025;;public;
RP0057;REMERA CHARLY (ROJO);REMERA CHARLY;T3,T4,T5,T6,T7;5500;;no;si;7/8/2025;;public;
RP0058;REMERA CHARLY (AZUL);REMERA CHARLY;T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0059;REMERA CHARLY (NARANJA);REMERA CHARLY;T3,T4,T5,T6,T7;5000;;no;si;7/8/2025;;public;
RP0060;REMERA SUSA (GRIS);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0061;REMERA SUSA (NEGRO);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0062;REMERA SUSA (ROJO);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0063;REMERA SUSA (BLANCO);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0064;REMERA SUSA (BEIGE);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0065;REMERA SUSA (CHICLE);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0066;REMERA SUSA (NATURAL);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0067;REMERA SUSA (ROSA);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0068;REMERA SUSA (FLOR BLANCA);REMERA SUSA;T3,T4,T5,T6,T7;5900;;no;si;7/8/2025;;public;
RP0069;JARDINERO EDEN AERO;JARDINERO EDEN;T0,T1,T2;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529724/kdnuhtkwfqsbix9uyx4w.jpg;no;si;7/7/2025;;public;
RP0070;JARDINERO EDEN TERRACOTA;JARDINERO EDEN;T0,T1,T2;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529744/gp02wghhulb6treiprwb.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529745/eiizwwco0rmqz0mbjmg4.jpg;no;si;7/7/2025;;public;
RP0071;JARDINERO EDEN ROSA;JARDINERO EDEN;T0,T1,T2;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529790/tgulei5zkwi6akw2tmqa.jpg;no;si;7/7/2025;;public;
RP0072;JARDINERO EDEN NARANJA;JARDINERO EDEN;T0,T1,T2;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529804/wyse4bbj2fzjgwjb0j5v.jpg;no;si;7/7/2025;;public;
RP0073;JARDINERO EDEN GRIS;JARDINERO EDEN;T0,T1,T2;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529826/hlgmx8ueed58usra9lxm.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743529826/u7w3mtvxtadtndxzfhj9.jpg;no;si;7/7/2025;;public;
RP0074;CAMPERA START (TURQUESA);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0075;CAMPERA START (NEGRO);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0076;CAMPERA START (NEGRO NEVADO);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0077;CAMPERA START (TERRACOTA);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0078;CAMPERA START (AERO);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0079;CAMPERA START (TOSTADO);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0080;CAMPERA START (ROSA);CAMPERA START;T0,T1,T2,T3,T4,T5,T6,T7;9900;;no;si;7/8/2025;;public;
RP0081;CALZA KIARA BEIGE;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784515/fbrouzwzdal8nx1jayyr.jpg;no;no;7/7/2025;;public;
RP0082;CALZA KIARA BLANCO;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784523/fzvqfxromyraer41atzs.jpg;no;no;7/7/2025;;public;
RP0083;CALZA KIARA CHICLE;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784530/crhzyhgws3qel0qqrh9y.jpg;no;no;7/7/2025;;public;
RP0084;CALZA KIARA GRIS;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784539/ukrcwgvuwyus5zvpi2xp.jpg;no;no;7/7/2025;;public;
RP0085;CALZA KIARA NATURAL;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784547/bpringpxjspz0ljjt9qx.jpg;no;no;7/7/2025;;public;
RP0086;CALZA KIARA NEGRO;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784557/ttk715pvrpo5ohtbb4fq.jpg;no;no;7/7/2025;;public;
RP0087;CALZA KIARA ROJO;CALZA KIARA;T1,T2,T3,T4,T5,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784564/ev3ginxjashdpup4tfp5.jpg;no;no;7/7/2025;;public;
RP0088;CALZA KIARA ROSA;CALZA KIARA;T1,T2,T3,T4,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784573/jeeiratxducuzyrlmacz.jpg;no;no;7/7/2025;;public;
RP0089;CALZA KIARA TOSTADO;CALZA KIARA;T1,T2,T3,T4,T6,T7;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784581/jrhxsfidxd1wmf16r8a0.jpg;no;no;7/7/2025;;public;
RP0090;PAÑALERO JEANS AZUL;PAÑALERO JEANS;T0,T1,T2,T3;11000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784700/oc6od4n2dllpvaf3qsfz.jpg,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784701/vpv9mooykw3mb9hswkl5.jpg;no;no;7/7/2025;;public;
RP0091;PAÑALERO JEANS AZUL RASGADO;PAÑALERO JEANS;T0,T1,T2,T3;11000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784712/lflnz4ptxbvyyimwglux.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784712/vgyqkmw6jdl7eu9noqz2.jpg;no;no;7/7/2025;;public;
RP0092;PAÑALERO JEANS CELESTE;PAÑALERO JEANS;T0,T1,T2,T3;11000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784752/jfawfq8qqpmhq26dmh0k.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784752/kgrfseyaiqb3ydzgk1al.jpg;no;no;7/7/2025;;public;
RP0093;PAÑALERO JEANS CELESTE RASGADO;PAÑALERO JEANS;T0,T1,T2,T3;11000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784767/zubtbvnz2volhjkrlumn.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784767/lpg3s9d7f1yyvysmk1vv.jpg;no;no;7/7/2025;;public;
RP0094;PANTALÓN HAPPY X3 GRIS-CELESTE-NATURAL;PANTALON HAPPY X3;T0,T1,T2,T3;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784870/pvlxl5vcylbe9l3i0vmn.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784870/vbcvrwarffdfa2hfjapf.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784871/rtaxukuwx1q3dcge1soi.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784871/mbienaubgxuapcljfn3w.jpg;no;no;7/7/2025;;public;
RP0095;PANTALÓN HAPPY X3 NATURAL-CELESTE-BLANCO;PANTALON HAPPY X3;T0,T1,T2,T3;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/urcpypbxoib3vn5a3fsl.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/evgy2atxaa8qvnfr2qmt.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/xxpcalymnywtxqb0bmb0.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/hnhqjd6dqnrvttuuozqj.jpg;no;no;7/7/2025;;public;
RP0096;PANTALÓN HAPPY X3 NATURAL-ROSA-BLANCO;PANTALON HAPPY X3;T0,T1,T2,T3;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/jk5ow8rg2z5ipgc3rpy4.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/pbmpsehnd24qhnvvozub.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/hfoa0spfp45xt5mwfdeg.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/vls8mfs3yanxchbqcieg.jpg;no;no;7/7/2025;;public;
RP0097;PANTALÓN HAPPY X3 ROSA-GRIS-BLANCO;PANTALON HAPPY X3;T0,T1,T2,T3;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785425/juc9pkvduyv59p6b6f3o.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785425/nj0o3cv7z27g7czhrhxt.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785426/iuodcij0ko80fezxnihw.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785425/o5n4gkdjph1kbrrvhxnv.jpg;no;no;7/7/2025;;public;
RP0098;PANTALÓN HAPPY X3 NATURAL-GRIS-BLANCO;PANTALON HAPPY X3;T0,T1,T2,T3;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785443/ikmd3unri7v3ccmaupik.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785443/u7nvlnkcekcuocrn9kkg.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785444/entaqdpcdowx8apcgt1z.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785443/obj4ongzdtckuv7gaseq.jpg;no;no;7/7/2025;;public;
RP0099;RANITA X3 GRIS-CELESTE-NATURAL;RANITA X3;T0,T1;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785485/qvcphmjjugj9bcesnnci.jpg,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785484/bmm7i2akfb7yoq0xggtp.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785485/lzthnkddh7bwuprkyone.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785484/glghgkwzfzttkob7l1n4.jpg;no;no;7/7/2025;;public;
RP0100;RANITA X3 NATURAL-CELESTE-BLANCO;RANITA X3;T0,T1;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785666/m3i7fk9delbhxpr5vtv3.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785664/alchyeojpz7oucrpw9bg.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785664/m4fe9kzyainiiipjo6gv.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785664/dxtabwyywbxlct4vdb0e.jpg;no;no;7/7/2025;;public;
RP0101;RANITA X3 NATURAL-ROSA-BLANCO;RANITA X3;T0,T1;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785711/arcivo8azmvy9t7ps5rp.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785711/ze8ddy6bngeashnst8bd.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785711/nb2hghdpafprusd827gb.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785711/ogbtkqb6ut0v2vqegzme.jpg;no;no;7/7/2025;;public;
RP0102;RANITA X3 ROSA-GRIS-BLANCO;RANITA X3;T0,T1;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785757/gxgqpaephdiegszw6czr.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785757/ab42sku9xyon2rwfo4nm.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785758/c4yn2y1awwjhtylacvbx.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785757/py18xrqotgx0byxcke3v.jpg;no;no;7/7/2025;;public;
RP0103;RANITA X3 NATURAL-GRIS-BLANCO;RANITA X3;T0,T1;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785780/i3ksnb3ehuumr6ukc4fg.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785780/oqbyxvxjzd1bpyuf4xhq.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785780/ogjvdomtjjxhko7ktpms.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785780/m17e4zhjzyucxc4tcubu.jpg;no;no;7/7/2025;;public;
