Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
AC0021;GORRO OREJAS ALG X3 NATURAL-GRIS-BLANCO;GORROS;T0,T1;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259038/pglddziw1cebaytftzik.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259036/y4kb1ojw1k9tiqnp2hn8.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259036/ggpbmqhocwa65x6aobqe.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259037/zpzeq0o9v9y7rvfabi7v.jpg;no;no;7/7/2025;;public;
AC0022;GORRO DORMILON ROSA;GORROS;T00,T0,T1,T2;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259055/jzubwkvzggrqlmdh6hxs.jpg;no;no;7/7/2025;;public;
AC0023;GORRO DORMILON NATURAL;GORROS;T00,T0,T1,T2;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259075/ov7isdbpfmt7dcfx0q1n.jpg;no;no;7/7/2025;;public;
AC0024;GORRO DORMILON BLANCO;GORROS;T00,T0,T1,T2;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259082/k0n4ddh30v9te07se9vw.jpg;no;no;7/7/2025;;public;
AC0025;GORRO DORMILON CELESTE;GORROS;T00,T0,T1,T2;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259088/s4fx2mjmmg2yy3re56ii.jpg;no;no;7/7/2025;;public;
AC0026;GORRO DORMILON GRIS;GORROS;T00,T0,T1,T2;1500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259095/gzv0pimc6tukbihzhgxz.jpg;no;no;7/7/2025;;public;
AC0027;GORRO DORMILON SURTIDO X12;GORROS;T00,T0,T1,T2,Talles Surtidos;15000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259107/pti3toluxv9jmkqhsbpl.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259108/a7nhvnkvkhq98d7rybfq.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259107/hzqznqhhp2zfps2oq4w8.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259107/rntyjkdmv9mr0qmi9n8q.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259108/wzm7dvgonkgr47bmiggt.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259108/qjngbgdj1mi4xgenkqbo.jpg;no;no;7/7/2025;;public;
AC0028;GORRO PLUSH OREJITA GRIS;GORROS;T00,T0,T1,T2;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743259120/gjnauknpq1yaghnrliq1.jpg;no;no;7/7/2025;;public;
AC0029;GORRO PLUSH OREJITA ROSA;GORROS;T00,T0,T1,T2;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260072/rvivaztrmw7bgjjsqdfx.jpg;no;no;7/7/2025;;public;
AC0030;GORRO PLUSH OREJITA CELESTE;GORROS;T00,T0,T1,T2;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260092/dtuoxxf5fiwtp4r5qew3.jpg;no;no;7/7/2025;;public;
AC0031;GORRO PLUSH OREJITA CHICLE;GORROS;T00,T0,T1,T2;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260099/nnfvxgfa211u9mysudjl.jpg;no;no;7/7/2025;;public;
AC0032;GORRO PLUSH OREJITA PINK;GORROS;T00,T0,T1,T2;2200;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260107/zznfj25wlqmop3sfgujz.jpg;no;no;7/7/2025;;public;
AC0033;GORRO PLUSH OREJITA SURTIDO X12;GORROS;T00,T0,T1,T2,Talles Surtidos;22800;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/d5lyoul59fay8y2ecmcy.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/eq846e3ucgxmz82u4nqb.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/rxj0wreu36ugsbclifsi.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/nqb4fezq7lio7kluphuz.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/mnt02uvehm1zmk9wvwra.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743260128/wkkexozg9mfeequhij2y.jpg;no;no;7/7/2025;;public;
AC0034;MEDIAS COLMENA (NENA);MEDIAS COLMENA PACK X12;T0,T1,T2,SURTIDO;9000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358712/tk0azx43ra4w60gi51fj.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358711/zmafhzz8a1g5apl6hybk.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358712/elf1usvwka4wehpuo1qi.png;no;no;23/7/2025;;public;
AC0035;MEDIAS COLMENA (VARON);MEDIAS COLMENA PACK X12;T0,T1,T2,SURTIDO;9000;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358908/guxaw7ww9t8803idbbb0.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358908/hiab8xysnqlicfi1anc8.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358908/cg3ftkdhytspynzqa2gb.png;no;no;23/7/2025;;public;
AC0036;MEDIAS COLMENA (BLANCO);MEDIAS COLMENA PACK X12;T0,T1,T2;9000;;no;no;23/7/2025;;paused;
AC0037;MEDIAS ELEMENTO (SURTIDO);MEDIAS ELEMENTO CAÑA ALTA PACK X12;T0,T1;11900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358996/eiicfgnmgrg2ba61tfit.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753358996/mqeh6sgzbqjlyxwu1vxh.png;no;no;23/7/2025;;public;
AC0038;MEDIAS QUILING (NENA);MEDIAS QUILING BB PACK X12;0 - 6 MESES;15500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359092/r1vnofiwflb5kad5ppd1.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359092/fgyoey4fjl80qqithr0h.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359102/fmlyemkjhaqiw5frgel3.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359102/bq5omyvily9cfh2g9qzj.png;no;no;23/7/2025;;public;
AC0039;MEDIAS QUILING (VARON);MEDIAS QUILING BB PACK X12;0 - 6 MESES;15500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359129/ntd7umzqdkvv9mcakiyx.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359129/ijpr06gqrxq3hwxnzvtp.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359140/xjft8o22azmkmfqgtdru.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359171/giv1tovndom7sy3jjnm6.png;no;no;23/7/2025;;public;
AC0040;MEDIAS QUILING ANTIDESLIZANTE (NENA);MEDIAS QUILING ANTIDESLIZANTE PACK X12;0-6 MESES,6-12 MESES,1-2 AÑOS;15500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359218/mfj5g8cjw4ekjrcpfzz4.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359219/cgowyrouedcat7fdfaop.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359223/rnd4akzusosqvidhcrc9.png,https://res.cloudinary.com/dkfsnrkcy/image/upload/v1753359223/mnvmugawfukh4fnskeas.png;no;no;23/7/2025;;public;
AC0041;MEDIAS QUILING ANTIDESLIZANTE (VARON);MEDIAS QUILING ANTIDESLIZANTE PACK X12;0-6 MESES,6-12 MESES,1-2 AÑOS;15500;;no;no;23/7/2025;;public;
AC0042;MANTA SUAVECITO 95X72CM;MANTAS;Rosa,Camel,Celeste,Natural;9900;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725359/zlronsefkvzlr3u77fku.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725359/g86bjwsdvmv4ddxug8v5.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725359/tkzmhhesj3ykkvpo1ijq.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1744725359/lv7bjy9uoj1lf9nzrgzd.jpg;no;no;7/7/2025;;public;
