Codigo;Producto;Modelo;Opcion;PreMay;Urlimagen;Sale;Nuevo;Time;Info;Estado;
PR0030;BATITA PACK X3 (NATURAL-ROSA-BLANCO);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/krohryrdkzf2pkn9hm70.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/egbpfliaxmfxues3b7u5.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/r1gl2nk6bj3bhn9ndml0.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/gqzy8ylo1pdl0xgrhpbx.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531605/ichkddwxbjekmdjwpxl3.jpg;no;no;7/7/2054;;public;
PR0031;BATITA PACK X3 (NATURAL-CELESTE-BLANCO);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531642/lesfsttefvcuo3pdu9js.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531641/lxl7pdawbyyaog19kitj.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531641/tfbx6do7i4s99vg1xqfz.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531642/tjwytgrfekrw0ncdhclc.jpg;no;no;7/7/2055;;public;
PR0032;BATITA PACK X3 (GRIS-CELESTE-NATURAL);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/c0qnfdkv0nz1o7mvqudp.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/upjokmwjgoke4mvolmgh.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/guqe10wcuoyozk5ei7o2.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/rdxzo5zfipifuj3npxai.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531700/dr9azcutqgxyrenmzdpw.jpg;no;no;7/7/2056;;public;
PR0033;BATITA PACK X3 (NATURAL-GRIS-BLANCO);BATITA PACK X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531727/cwdbwmbazn24shu8r1zc.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531727/eapp8losqehzyo3zxlh4.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531727/ism8biuobalsxwfgehof.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531727/cbwamxgpy6c0n85b6quc.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743531727/fu8ah99klbjndp6jinx8.jpg;no;no;7/7/2057;;public;
PR0034;PANTALÓN HAPPY X3 GRIS-CELESTE-NATURAL;PANTALON HAPPY X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784870/pvlxl5vcylbe9l3i0vmn.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784870/vbcvrwarffdfa2hfjapf.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784871/rtaxukuwx1q3dcge1soi.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741784871/mbienaubgxuapcljfn3w.jpg;no;no;7/7/2058;;public;
PR0035;PANTALÓN HAPPY X3 NATURAL-CELESTE-BLANCO;PANTALON HAPPY X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/urcpypbxoib3vn5a3fsl.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/evgy2atxaa8qvnfr2qmt.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/xxpcalymnywtxqb0bmb0.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785353/hnhqjd6dqnrvttuuozqj.jpg;no;no;7/7/2059;;public;
PR0036;PANTALÓN HAPPY X3 NATURAL-ROSA-BLANCO;PANTALON HAPPY X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/jk5ow8rg2z5ipgc3rpy4.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/pbmpsehnd24qhnvvozub.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/hfoa0spfp45xt5mwfdeg.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785373/vls8mfs3yanxchbqcieg.jpg;no;no;7/7/2060;;public;
PR0037;PANTALÓN HAPPY X3 ROSA-GRIS-BLANCO;PANTALON HAPPY X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785425/juc9pkvduyv59p6b6f3o.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785425/nj0o3cv7z27g7czhrhxt.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785426/iuodcij0ko80fezxnihw.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785425/o5n4gkdjph1kbrrvhxnv.jpg;no;no;7/7/2061;;public;
PR0038;PANTALÓN HAPPY X3 NATURAL-GRIS-BLANCO;PANTALON HAPPY X3;Prematuro;10500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785443/ikmd3unri7v3ccmaupik.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785443/u7nvlnkcekcuocrn9kkg.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785444/entaqdpcdowx8apcgt1z.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1741785443/obj4ongzdtckuv7gaseq.jpg;no;no;7/7/2062;;public;
PR0039;GORRO OREJAS ALG X3 ROSA-GRIS-BLANCO;GORROS;Prematuro;4500;https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258942/hndeausvlbqh0esxhx6m.png, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258942/ilrnyphn3etfx9aazte0.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258942/o37jzmp1guheb80sljgf.jpg, https://res.cloudinary.com/dkfsnrkcy/image/upload/v1743258942/vlncc9c5gim7lrx005wu.jpg;no;no;7/7/2063;;public;
